time_sent,time_received,time_elapsed
2023-04-24 21:48:07.943614,2023-04-24 21:48:07.946543,2.929
2023-04-24 21:48:07.945566,2023-04-24 21:48:07.948494,2.928
2023-04-24 21:48:07.946543,2023-04-24 21:48:07.949470,2.927
2023-04-24 21:48:07.949470,2023-04-24 21:48:07.952401,2.931
2023-04-24 21:48:07.950448,2023-04-24 21:48:07.954354,3.906
2023-04-24 21:48:07.952401,2023-04-24 21:48:07.956306,3.905
2023-04-24 21:48:07.955330,2023-04-24 21:48:07.958259,2.929
2023-04-24 21:48:07.957284,2023-04-24 21:48:07.960213,2.929
2023-04-24 21:48:07.959236,2023-04-24 21:48:07.962165,2.929
2023-04-24 21:48:07.961191,2023-04-24 21:48:07.964120,2.929
2023-04-24 21:48:07.965097,2023-04-24 21:48:07.984625,19.528
2023-04-24 21:48:07.963143,2023-04-24 21:48:07.987104,23.961
2023-04-24 21:48:07.985603,2023-04-24 21:48:07.988073,2.47
2023-04-24 21:48:07.988073,2023-04-24 21:48:07.991003,2.93
2023-04-24 21:48:07.989049,2023-04-24 21:48:07.994908,5.859
2023-04-24 21:48:07.991003,2023-04-24 21:48:07.998355,7.352
2023-04-24 21:48:07.997402,2023-04-24 21:48:08.001283,3.881
2023-04-24 21:48:08.000308,2023-04-24 21:48:08.002260,1.952
2023-04-24 21:48:08.001283,2023-04-24 21:48:08.004212,2.929
2023-04-24 21:48:08.003236,2023-04-24 21:48:08.006165,2.929
2023-04-24 21:48:08.004212,2023-04-24 21:48:08.007661,3.449
2023-04-24 21:48:08.006165,2023-04-24 21:48:08.009610,3.445
2023-04-24 21:48:08.008634,2023-04-24 21:48:08.011563,2.929
2023-04-24 21:48:08.010588,2023-04-24 21:48:08.013518,2.93
2023-04-24 21:48:08.012540,2023-04-24 21:48:08.015471,2.931
2023-04-24 21:48:08.014495,2023-04-24 21:48:08.016447,1.952
2023-04-24 21:48:08.015471,2023-04-24 21:48:08.018401,2.93
2023-04-24 21:48:08.017425,2023-04-24 21:48:08.021328,3.903
2023-04-24 21:48:08.019380,2023-04-24 21:48:08.023281,3.901
2023-04-24 21:48:08.022305,2023-04-24 21:48:08.025236,2.931
2023-04-24 21:48:08.024259,2023-04-24 21:48:08.027187,2.928
2023-04-24 21:48:08.026211,2023-04-24 21:48:08.029140,2.929
2023-04-24 21:48:08.028164,2023-04-24 21:48:08.031093,2.929
2023-04-24 21:48:08.030120,2023-04-24 21:48:08.035975,5.855
2023-04-24 21:48:08.032070,2023-04-24 21:48:08.037931,5.861
2023-04-24 21:48:08.036953,2023-04-24 21:48:08.039882,2.929
2023-04-24 21:48:08.037931,2023-04-24 21:48:08.040859,2.928
2023-04-24 21:48:08.039882,2023-04-24 21:48:08.042811,2.929
2023-04-24 21:48:08.041835,2023-04-24 21:48:08.045741,3.906
2023-04-24 21:48:08.043789,2023-04-24 21:48:08.048671,4.882
2023-04-24 21:48:08.046720,2023-04-24 21:48:08.050623,3.903
2023-04-24 21:48:08.048671,2023-04-24 21:48:08.051600,2.929
2023-04-24 21:48:08.051600,2023-04-24 21:48:08.055507,3.907
2023-04-24 21:48:08.052576,2023-04-24 21:48:08.056482,3.906
2023-04-24 21:48:08.055507,2023-04-24 21:48:08.059414,3.907
2023-04-24 21:48:08.057460,2023-04-24 21:48:08.061365,3.905
2023-04-24 21:48:08.059414,2023-04-24 21:48:08.063319,3.905
2023-04-24 21:48:08.062342,2023-04-24 21:48:08.065274,2.932
2023-04-24 21:48:08.064297,2023-04-24 21:48:08.067223,2.926
